Code;Actie;Actie oms.;BI;Ontvangst/uitgave;AR;Algemene rekening oms.;IE;Eerste omschrijving;2014;2015;2016;2017;2018;2019;;totaal per lijn;;;;;

BP2014_2019-2T/GBB-CBS/0040-00/1749000/BESTUUR/CBS/700/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;O;1749000;Overige leningen;IE-GEEN;Overige leningen;2 600 000,00;3 600 000,00;1 800 000,00;1 400 000,00;1 700 000,00;0,00;;11 100 000,00;;;;;

BP2014_2019-2T/GBB-CBS/0040-00/4233000/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;U;4233000;Schulden aan kredietinstellingen aangegaan door het bestuur;IE-GEEN;Aflossing van leningen;1 204 947,54;1 126 507,79;1 102 694,20;1 125 427,70;1 088 165,61;1 089 036,95;;6 736 779,79;;;;;

BP2014_2019-2T/GBB-CBS/0740-00/4943000/BESTUUR/CBS/800/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;O;4943000;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;IE-GEEN;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;18 282,44;18 282,44;18 282,44;18 282,44;18 282,44;18 282,44;;109 694,64;;;;;

BP2014_2019-2T/GBB-CBS/0040-00/4240000/BESTUUR/CBS/700/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;U;4240000;;IE-GEEN;Aflossing van leningen;;180 000,00;185 054,25;185 317,13;185 588,55;185 868,74;;921 828,67;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;; 1 619 324,40; 1 649 298,11; 1 634 511,54; 1 606 269,76;;;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;aflossingen nieuwe leningen;zie nieuwe leningen vanaf 2016.xlsx;;  105 334,22 ;  157 730,44 ;  219 459,95 ;  226 786,34 ;;;;;;;

;;;;;;;;intretsen nieuwe leningen;;;  79 943,58 ;  125 379,26 ;  187 986,41 ;  180 473,18 ;;;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;aflossingen kredietinstellingen;zie kredieten_aanpassing MJP.xlsx;;  997 359,98 ;  967 697,26 ;  868 705,66 ;  862 250,61 ;;;;;;;

;;;;;;;;intresten kredietinstellingen;;;  240 011,25 ;  211 826,21 ;  191 716,73 ;  171 570,57 ;;;;;;;

;;;;;;;;aflossingen andere;;;  185 054,25 ;  185 317,13 ;  185 588,55 ;  185 868,74 ;ok;;;;;;

;;;;;;;;intresten andere;;;  42 539,85 ;  39 229,74 ;  35 911,08 ;  32 583,66 ;;;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;  1 102 694,20 ;  1 125 427,70 ;  1 088 165,61 ;  1 089 036,95 ;;;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;;;;;;;;;;;

;;;;;;;;;;;  -   ;  -   ;  -   ;  -   ;;;;;;;

