Code;Actie;Actie oms.;Beleidsitem code;Algemene rekening;Algemene rekening oms.;Investeringsenveloppe;Omschrijving budgetboekjaar;2014;2015;2016;2017;2018;2019;2020;2021;;;;2016;2017;2018;2019;2020;2021
BP2014_2021-3/GBB-CBS/0030-00/2903000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0030-00;2903000;Vorderingen wegens toegestane leningen - nominale waarde;IE-GEEN;;111539.6;;;;;;;;;;;;;;;;
BP2014_2021-3/GBB-CBS/0040-00/1733000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;1733000;Schulden aan kredietinstellingen ten laste van het bestuur;IE-GEEN;Schulden aan kredietinstellingen ten laste van het bestuur;1484300;3600000;1025000;1600000;3300000;1200000;2600000;;;;aflossingen kredietinstellingen;1051704.72;1045176.83;947885.22;942512.54;911089.1;635285.44999999995
BP2014_2021-3/GBB-CBS/0040-00/1740000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;1740000;Prefinancieringsleningen;IE-GEEN;;;237852.57;;;;;;;;;aflossingen andere;189580.65223441305;190320.12548028131;190591.55408578107;190871.74251299584;191160.98;181961.09
BP2014_2021-3/GBB-CBS/0040-00/1749000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;1749000;Overige leningen;IE-GEEN;Overige leningen;;;;0;0;0;;;;;;;;;;;
BP2014_2021-3/GBB-CBS/0040-00/4233000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;4233000;Schulden aan kredietinstellingen aangegaan door het bestuur;IE-GEEN;Aflossing van leningen;1204924.73;1242259.6100000001;1052000;1077905.79;1078418.9300000002;1162998.3599999999;1204762.54;982909.76;;;;-295.28000000002794;-32728.960000000079;-130533.7100000002;-220485.81999999983;;
BP2014_2021-3/GBB-CBS/0040-00/4240000/BESTUUR/CBS/IE-GEEN/U;GBB-CBS;Gelijkblijvend beleid CBS;0040-00;4240000;Overige leningen;IE-GEEN;Overige leningen;7929.58;22337.48;185054.25;190320.13;190591.55;190871.74;191160.98;181961.09;;;;4526.4022344130499;-4.519718699157238E-3;4.0857810818124563E-3;2.5129958521574736E-3;;
BP2014_2021-3/GBB-CBS/0740-00/4943000/BESTUUR/CBS/IE-GEEN/O;GBB-CBS;Gelijkblijvend beleid CBS;0740-00;4943000;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;IE-GEEN;Vorderingen wegens toegestane leningen die binnen het jaar vervallen;18282.439999999999;18282.439999999999;18282.439999999999;18282.439999999999;18282.439999999999;18282.439999999999;18282.439999999999;18282.439999999999;;;;;;;;;
BP2014_2021-3/GBR-VBJ/0090-00/9000000/BESTUUR/CBS/IE-GEEN/O;GBR-VBJ;Gecumuleerde budgettaire resultaat vorig boekjaar;0090-00;9000000;Gecumuleerd budgettair resultaat vorig boekjaar;IE-GEEN;Gecumuleerd budgettair resultaat vorig boekjaar;787400.13;-500413.63;2291343.52;563560.38;565996.02;609870.81999999995;;;;;;4231.1222344130219;-32728.964519718778;-130533.70591421911;-220485.81748700398;;
;;;;;;;;;;;;;;;;;;;;49349.919999999998;107944.72;112045.43000000001;;
;;;;;;;;;;;;;;;;;;;;16620.95548028122;-22588.985914219113;-108440.38748700397;;
;;;;;;;;;;;1077905.79;1078418.93;1162998.3600000001;;;;;;;;;;;
;;;;;;;;;;;0;0;0;;;;;;;;;;;
;;;;;;;;;;;190320.12548028131;190591.55408578107;190871.74251299584;;;;;;;;;;;
;;;;;;;;;;;-4.519718699157238E-3;4.0857810818124563E-3;2.5129958521574736E-3;;;;;;;;;;;
